Albert-Kuntz-Str.|Hellersdorf|12627|24821,14881
Albert-Schweitzer-Str.|Friedrichshagen|12587|25246,5607
Albertinenstr.|Weißensee|13086|14113,16411
Albertinenstr.|Zehlendorf|14165|52,1872
Albertstr.|Schöneberg|10827|7079,8584
Albestr.|Friedenau|12159|5466,7444
Albiger Weg|Nikolassee|14129|-2822,2294
Alboinplatz|Schöneberg|12105|8056,6011
Alboinstr.|Schöneberg|12103|8161,6301
Alboinstr.|Tempelhof|12103|8194,6390
Alboinstr.|Tempelhof|12105|8194,6390
Albrecht-Achilles-Str.|Wilmersdorf|10709|3649,9722
Albrecht-Dürer-Str.|Mahlsdorf|12623|25274,13202
Albrecht-Thaer-Weg|Dahlem|14195|3383,6626
Albrechts Teerofen|Wannsee|14109|-5605,-1420
Albrechtsche Erben|Tegel|13629|
Albrechtshofer Weg|Spandau|13591|-7743,15963
Albrechtshöhe (Kolonie)|Tempelhof|12099|10103,5965
Albrechtstr.|Mitte|10117|9100,12856
Albrechtstr.|Steglitz|12165|6517,4344
Albrechtstr.|Steglitz|12167|6517,4344
Albrechtstr.|Tempelhof|12099|9080,6200
Albrechtstr.|Tempelhof|12103|9080,6200
Albtalweg|Waidmannslust|13469|5474,22645
Albulaweg|Mariendorf|12107|10280,1976
Alemannenallee|Charlottenburg|14052|1187,11103
Alemannenstr.|Altglienicke|12524|20514,1153
Alemannenstr.|Frohnau|13465|1899,25127
Alemannenstr.|Nikolassee|14129|-3688,2407
Alexander-von-Humboldt-Weg|Adlershof|12489|18814,3226
Alexanderplatz|Mitte|10178|11139,13008
Alexanderstr.|Mitte|10179|11331,12575
Alexanderufer|Mitte|10117|8312,13296
Alexandrinenstr.|Kreuzberg|10969|10815,11183
Alfelder Str.|Biesdorf|12683|20939,9883
Alfons-Loewe-Str.|Spandau|13591|-7862,15628
Alfred-Döblin-Str.|Marzahn|12679|20407,16385
Alfred-Jung-Str.|Lichtenberg|10367|15316,13049
Alfred-Jung-Str.|Lichtenberg|10369|15316,13049
Alfred-Kowalke-Str.|Friedrichsfelde|10315|18530,11442
Alfred-Randt-Str.|Köpenick|12559|23793,4052
Alfred-Rojek-Weg|Rudow|12355|17587,1906
Alfredstr.|Lichtenberg|10365|16220,12053
Alice-Berend-Str.|Moabit|10557|7307,12673
Alice-Herz-Platz|Mahlsdorf|12623|24279,12283
Alice-Salomon-Platz|Hellersdorf|12627|23977,14850
Alice-und-Hella-Hirsch-Ring|Lichtenberg|10317|15706,10142
Alkenweg|Grünau|12527|21780,2462
Allee der Kosmonauten|Biesdorf|12683|20035,13683
Allee der Kosmonauten|Friedrichsfelde|10315|17657,13255
Allee der Kosmonauten|Marzahn|12679|20035,13683
Allee der Kosmonauten|Marzahn|12681|20035,13683
Allee der Kosmonauten|Marzahn|12683|20035,13683
Allee der Kosmonauten|Marzahn|12685|20035,13683
Allée Marie Curie|Waidmannslust|13469|4537,21518
Allée Pierre de Coubertin|Waidmannslust|13469|4631,21528
Allée St. Exupéry|Reinickendorf|13405|3108,18083
Allendeweg|Köpenick|12555|23001,4382
Allendorfer Weg|Hohenschönhausen|13053|17967,14874
Allerstr.|Neukölln|12049|11527,7678
Allgäuer Weg|Mariendorf|12107|10275,3488
Allmendeweg|Tegel|13509|3169,21744
Allmersweg|Johannisthal|12487|17708,5231
Almazeile|Konradshöhe|13505|-1414,17868
Almstadtstr.|Mitte|10119|10755,13335
Almutstr.|Hermsdorf|13467|4484,22999
Almweg|Mariendorf|12107|10487,2775
Alpenrose (Kolonie)|Charlottenburg|13627|3558,15342
Alpenrosenweg|Baumschulenweg|12437|15872,5168
Alpental (Kolonie)|Britz|12359|14232,5057
Alpental (Kolonie)|Mariendorf|12109|11133,4929
Alpenveilchenweg|Biesdorf|12683|21997,10952
Alpenveilchen|Spandau|13581|
Alpnacher Weg|Heinersdorf|13089|13362,18172
Alsbacher Weg|Zehlendorf|14163|-798,4602
Alsenstr.|Steglitz|12163|5474,6230
Alsenstr.|Wannsee|14109|-6489,734
Alsenzer Weg|Müggelheim|12559|27518,933
Alsheimer Str.|Lankwitz|12247|6691,3917
Alsterweg|Lichterfelde|14167|1812,972
Alt Schöneberg (Kolonie)|Friedenau|12157|6962,6931
Alt Stralau|Friedrichshain|10245|15377,9772
Alt-Biesdorf|Biesdorf|12683|21800,11282
Alt-Blankenburg|Blankenburg|13129|13822,20853
Alt-Britz|Britz|12359|12851,4848
Alt-Buch|Buch|13125|16830,25534
Alt-Buckow|Buckow|12349|12218,1986
Alt-Friedrichsfelde|Biesdorf|12683|19302,11801
Alt-Friedrichsfelde|Friedrichsfelde|10315|19261,11822
Alt-Gatow|Gatow|14089|-4502,8726
Alt-Heiligensee|Heiligensee|13503|-2599,21981
Alt-Hellersdorf|Hellersdorf|12629|23191,15077
Alt-Hermsdorf|Hermsdorf|13467|4722,22904
Alt-Karow|Karow|13125|15776,23369
Alt-Kaulsdorf|Kaulsdorf|12621|22786,11282
Alt-Kladow|Kladow|14089|-6858,4909
Alt-Köpenick|Köpenick|12555|22009,4752
Alt-Köpenick|Köpenick|12557|22009,4752
Alt-Lankwitz|Lankwitz|12247|7358,3556
Alt-Lichtenrade|Lichtenrade|12305|11108,-1040
Alt-Lichtenrade|Lichtenrade|12309|11108,-1040
Alt-Lietzow|Charlottenburg|10587|4069,12315
Alt-Lübars|Lübars|13469|7285,23679
Alt-Mahlsdorf|Mahlsdorf|12623|24926,11285
Alt-Mariendorf|Mariendorf|12107|9426,3878
Alt-Marienfelde|Marienfelde|12277|8040,790
Alt-Marzahn|Marzahn|12685|20904,15457
Alt-Moabit|Moabit|10555|6057,13187
Alt-Moabit|Moabit|10557|6057,13187
Alt-Moabit|Moabit|10559|6057,13187
Alt-Müggelheim|Müggelheim|12559|28104,1067
Alt-Pichelsdorf|Spandau|13595|-3414,11410
Alt-Reinickendorf|Reinickendorf|13407|6589,18784
Alt-Rheingau (Kolonie)|Schmargendorf|14199|3581,7887
Alt-Rudow|Rudow|12355|16597,1696
Alt-Rudow|Rudow|12357|16597,1696
Alt-Ruhleben I (Kolonie)|Neukölln|12057|14384,8174
Alt-Ruhleben II (Kolonie)|Neukölln|12057|14527,7787
Alt-Schmöckwitz|Schmöckwitz|12527|27183,-3059
Alt-Schönow|Zehlendorf|14165|1218,-122
Alt-Tegel|Tegel|13507|1814,19992
Alt-Tempelhof|Tempelhof|12099|9082,6619
Alt-Tempelhof|Tempelhof|12103|9082,6619
Alt-Treptow|Treptow|12435|15515,8969
Alt-Wittenau|Wittenau|13437|4816,20688
Altdammer Weg|Heiligensee|13503|-727,24032
Altdorfer Str.|Lichterfelde|12205|2921,2520
