# -*- text -*-
# Punkt	      Kreuzung                           Dir    Zyk grün      rot
# ----------------------------------------------------------------------------
Do, 22.10.1998
# ----------------------------------------------------------------------------
Mo, 26.10.1998
8594,8777     Dudenstr./Katzbachstr.             O->W       12:24:42  12:25:12
7795,8765     Kolonnenstr./Hohenfriedbergstr.    O->W       12:27:00
7709,8777     Kolonnenstr./Naumannstr.           O->W                 12:27:48
7563,8871     Kolonnenstr./Czeminskistr.         O->W       12:28:10
7325,8936     Kolonnenstr./Crellestr.            O->W       12:29:30  12:28:55
7275,8960     Kolonnenstr./Hauptstr.             O->W       12:29:33
7110,9024     Belziger Str./Akazienstr.          O->W       12:32:22
6860,8878     Belziger Str./Eisenacher Str.      O->W   40  12:32:24  12:32:34
6460,8688     Belziger S./M.-Luther-S. (Auto)    O->W   60  12:35:00  12:35:07
6449,8807     M.-Luther-S./Badensche Str.        S->N       12:36:14
6440,9192     M.-Luther-S./Grunewaldstr.         S->N       12:37:37  12:37:02
6445,9538     M.-Luther-S./Barbarossastr.        S->N       12:38:12
6502,9782     M.-Luther-S./Hohenstaufenstr.      S->N       12:39:14
6514,10088    M.-Luther-S./Motzstr.              S->N       12:39:53
6494,10440    M.-Luther-S./Lietzenburger Str.    S->N                 12:40:45
6532,10529    M.-Luther-S./Kleiststr. (Auto)     S->N   70? 12:42:10  12:41:33
6532,10529    M.-Luther-S./Kleiststr. (Rad)      S->N   70? 12:42:10  12:41:25
6353,10583    Kleiststr./Bayreuther Str.         O->W                 12:43:55
6484,10847    Keithstr./Kurfürstenstr.           S->N       12:44:45
4981,12252    Marchstr./Einsteinufer             SO->NO     13:00:48
5018,12322    Franklinstr./Salzufer              SW->NO 60  13:01:12  13:01:42

# Punkt	      Kreuzung                           Dir    Zyk grün      rot
# ----------------------------------------------------------------------------
Mo, 26.10.1998
5018,12322    Franklinstr./Salzufer (Auto)       NO->SW     16:31:35
4981,12252    Marchstr./Einsteinufer             NO->SW     16:31:35
4770,11820    E-Reuter-Pl/O-Suhr-Allee (Rad 1)   O->S       16:33:28
4770,11820    E-Reuter-Pl/O-Suhr-Allee (Rad 2)   O->S       16:33:38
4747,11751    E-Reuter-Pl/Bismarckstr. (Rad)     N->S       16:34:42
5166,11343    Hardenbergstr./Steinplatz          NW->SO     16:36:14  16:35:46
5268,11274    Hardenbergstr./Fasanenstr.         NW->SO     16:37:11
5247,10992    Fasanenstr./Kantstr.               N->S       16:38:28
5102,11006    Kantstr./Uhlandstr.                O->W       16:38:53
5102,11006    Kantstr./Uhlandstr.                N->S       16:39:45
5076,10658    Uhlandstr./Kurfürstendamm          N->S   60  16:40:35  16:40:50
5063,10384    Uhlandstr./Lietzenburger Str.      N->S   60  16:40:38  16:40:53
5063,10384    Uhlandstr./Lietzenburger Str.      W->O   60  16:43:03
5329,10422    Lietzenburger Str./Meinekestr.     W->O       16:43:23
5468,10442    Lietzenburger S./Joachimsth. S.    W->O       16:44:27  16:43:52
5773,10318    Lietzenburger/Nürnberger (Auto)    W->O   60  16:45:06  16:45:22
5773,10318    Lietzenburger/Nürnberger (Rad)     W->O                 +5s?
6494,10440    Lietzenburger/Martin-Luther-S      W->O       16:48:37  16:47:52
6532,10529    M.-Luther-S./Kleiststr.            S->N       16:48:57
6753,10446    Kleiststr./Eisenacher Str.         O->W       16:49:28
7033,10328    Kleiststr./Maaßenstr.              O->W       16:50:06
7413,10244    Bülowstr./Frobenstr.               O->W   60  16:50:33  16:50:57
7579,10183    Bülowstr./Potsdamer Str.           O->W   70  16:51:33  16:51:55
7866,9918     Bülowstr./Denewitzplatz            N->S       16:54:28  16:53:49
7829,9723     Kulmer Str./Goebenstr.             N->O       16:54:35
8192,9619     Yorckstr./Bautzener Str.           W->O   70  16:56:16  16:55:46
8595,9495     Yorckstr./Katzbachstr. (Auto)      W->O   70  16:57:50  16:57:18
8595,9495     Yorckstr./Katzbachstr. (Rad)       W->O   70            16:58:02
8598,9264     Katzbachstr./Kreuzbergstr.         N->S   70  16:59:10  16:59:33
8598,9074     Katzbachstr./Monumentenstr.        N->S       17:00:26  17:01:03
8594,8777     Katzbachstr./Dudenstr.             N->S   70  17:02:39  17:01:54

# Punkt	      Kreuzung                           Dir    Zyk grün      rot
# ----------------------------------------------------------------------------
Mo, 26.10.1998
9229,8785     Dudenstr./Tempelhofer Damm         W->O       21:07:48
9395,8726     Columbiadamm/Platz der Luftbr.     W->O       21:08:15
9801,8683     Columbiadamm/Friesenstr.           W->O       21:09:09
11632,8302    Columbiadamm/Fontanestr.           W->O       21:14:18  21:14:00
11898,8362    Flughafenstr./Hermannstr (Auto)    W->O       21:15:25? 21:14:50
11898,8362    Flughafenstr./Hermannstr (Rad)     W->O       21:15:25? 21:14:40
11824,8995    Hermannstr./Karl-Marx-Str.         S->N       21:17:57  21:17:25
12156,8760    Karl-Marx-Str./Reuterstr.          NW->SO 50  21:18:47  21:18:17
12483,8834    Weichselstr./Sonnenallee           S->N   50  21:19:58  21:20:10
13849,9310    Kiefholzstr./Elsenstr.             O->W   70  21:29:03  21:29:18
14089,9610    Elsenstr./Am Treptower P (Auto)    S->N   60  21:30:58  21:31:12
14089,9610    Elsenstr./Am Treptower P (Rad)     S->N                 +5s
14193,9746    Elsenstr./Puschkinallee (Auto)     S->N   60  21:31:07  21:31:20
14193,9746    Elsenstr./Puschkinallee (Rad)      S->N                 +5s
14558,10264   Treptowers/Stralauer A (Auto)      S->N   60  21:34:10  21:34:35
14558,10264   Treptowers/Stralauer A (Rad)       S->N                 +15s
14641,10552   Markgrafendamm/Persiusstr.         S->N       21:35:25  21:35:55

# Punkt	      Kreuzung                           Dir    Zyk grün      rot
# ----------------------------------------------------------------------------
Di, 27.10.1998
15263,10747   Hauptstr/Karlshorster Str          N->O       08:45:50  08:46:20
