# -*- text -*-
# ----------------------------------------------------------------------------
Do, 22.10.1998
4763,11834    E-Reuter-Pl/O-Suhr-Allee (Rad 2)   O->S       16:33:38
4737,11768    E-Reuter-Pl/Bismarckstr. (Rad)     N->S       16:34:42
5153,11357    Hardenbergstr./Steinplatz          NW->SO     16:36:14  16:35:46
5258,11285    Hardenbergstr./Fasanenstr.         NW->SO     16:37:11
5236,10994    Fasanenstr./Kantstr.               N->S       16:38:28
5090,11007    Kantstr./Uhlandstr.                O->W       16:38:53
5090,11007    Kantstr./Uhlandstr.                N->S       16:39:45
5047,10381    Uhlandstr./Lietzenburger Str.      N->S   60  16:40:38  16:40:53
5047,10381    Uhlandstr./Lietzenburger Str.      W->O   60  16:43:03
5313,10420    Lietzenburger Str./Meinekestr.     W->O       16:43:23
5458,10443    Lietzenburger S./Joachimsth. S.    W->O       16:44:27  16:43:52
6494,10440    Lietzenburger/Martin-Luther-S      W->O       16:48:37  16:47:52
6532,10529    M.-Luther-S./Kleiststr.            S->N       16:48:57
6753,10446    Kleiststr./Eisenacher Str.         O->W       16:49:28
7829,9723     Kulmer Str./Goebenstr.             N->O       16:54:35
8192,9619     Yorckstr./Bautzener Str.           W->O   70  16:56:16  16:55:46
8595,9495     Yorckstr./Katzbachstr. (Auto)      NW->NO 70  16:57:50  16:57:18
8595,9495     Yorckstr./Katzbachstr. (Rad)       NW->NO 70            16:58:02
8598,9269     Katzbachstr./Kreuzbergstr.         N->S   70  16:59:10  16:59:33
8598,9074     Katzbachstr./Monumentenstr.        N->S       17:00:26  17:01:03
8594,8777     Katzbachstr./Dudenstr.             N->S   70  17:02:39  17:01:54

# ----------------------------------------------------------------------------
Mo, 26.10.1998
9229,8785     Dudenstr./Tempelhofer Damm         W->O       21:07:48
9395,8726     Columbiadamm/Platz der Luftbr.     W->O       21:08:15
9801,8683     Columbiadamm/Friesenstr.           W->O       21:09:09
11632,8302    Columbiadamm/Fontanestr.           W->O       21:14:18  21:14:00
11898,8362    Flughafenstr./Hermannstr (Auto)    W->O       21:15:25? 21:14:50
11898,8362    Flughafenstr./Hermannstr (Rad)     W->O       21:15:25? 21:14:40
11831,8989    Hermannstr./Karl-Marx-Str.         S->N       21:17:57  21:17:25
12150,8764    Karl-Marx-Str./Reuterstr.          NW->SO 50  21:18:47  21:18:17
12478,8829    Weichselstr./Sonnenallee           S->N   50  21:19:58  21:20:10
13849,9310    Kiefholzstr./Elsenstr.             O->W   70  21:29:03  21:29:18
14089,9610    Elsenstr./Am Treptower P (Auto)    S->N   60  21:30:58  21:31:12
14089,9610    Elsenstr./Am Treptower P (Rad)     S->N                 +5s
14196,9749    Elsenstr./Puschkinallee (Auto)     S->N   60  21:31:07  21:31:20
14196,9749    Elsenstr./Puschkinallee (Rad)      S->N                 +5s
14558,10264   Treptowers/Stralauer A (Auto)      S->N   60  21:34:10  21:34:35
14558,10264   Treptowers/Stralauer A (Rad)       S->N                 +15s
14641,10552   Markgrafendamm/Persiusstr.         S->N       21:35:25  21:35:55

# ----------------------------------------------------------------------------
Di, 27.10.1998
15261,10738   Hauptstr/Karlshorster Str          N->O       08:45:50  08:46:20
15261,10738   Hauptstr/Karlshorster Str (Rad)    O->W       08:46:28
14641,10552   Markgrafendamm/Persiusstr.         N->S       08:48:42
14558,10264   Treptowers/Stralauer A (Auto)      N->S       08:49:58
14196,9749    Elsenstr./Puschkinallee (Auto)     N->S   90  08:51:02  08:51:31
13614,9333    Karl-Kunger-Str/Wildenbruchstr.    O->W       08:55:24
13333,9017    Wildenbruchstr./Harzer Str.        NO->SW     08:56:13  08:56:43
12920,8487    Wildenbruchstr./Sonnenallee        N->SW      08:58:58  08:59:14
12765,8435    Erkstr./Donaustr.                  NO->SW     08:59:43
12598,8390    Erkstr./Karl-Marx-Str.             NO->NW     09:01:20
12494,8501    Karl-Marx-Str./Flughafenstr.       SO->NW     09:02:00
12195,8436    Flughafenstr./Reuterstr.           O->W       09:02:53
11898,8362    Flughafenstr./Hermannstr.          O->W   60  09:03:35  09:03:45
11632,8302    Columbiadamm/Fontanestr.           O->W       09:05:44
9801,8683     Columbiadamm/Friesenstr.           O->W       09:11:27  09:10:53
9395,8726     Columbiadamm/Platz der Luftbr      O->W   70  09:12:22  09:12:52
9229,8785     Columbiadamm/Mehringdamm           O->W   80  09:13:20  09:13:44

# ----------------------------------------------------------------------------
Di, 27.10.1998
8594,8777     Dudenstr./Katzbachstr.             O->W       12:13:53  12:13:10
7795,8765     Kolonnenstr./Hohenfriedbergstr.    O->W       12:16:10  12:15:45
7709,8777     Kolonnenstr./Naumannstr.           O->S       12:16:55  12:16:10
7497,8168     Torgauer Str./Gotenstr.            W->O       12:19:43  12:19:15
6935,8208     Dominicusstr./Ebersstr. (Auto)     SO->NW     12:22:10  12:21:42
6935,8208     Dominicusstr./Ebersstr. (Rad)      SO->NW               +12s
6935,8208     Dominicusstr./Ebersstr.            NO->SW     12:22:48
6409,8026     Ebersstr./Innsbrucker Platz        O->W       12:25:02
5632,8024     Wexstr./Prinzregentenstr.          O->W       12:27:38  12:27:04
5363,8024     Wexstr./Bundesallee                O->W       12:28:18  12:27:38
4786,8007     Detmolder Str./Blissestr.          O->W       12:30:33  12:29:52
4280,8188     Detmolder Str./Mecklenburgische    O->W       12:32:37  12:31:53
4324,8899     Barstr./Berliner Str.              S->N       12:35:21
3952,8980     Berliner Str./Konstanzer Str.      O->W   60  12:36:04  12:36:23
3919,9085     Konstanzer Str./Hohenzollernd.     S->N       12:37:33
4057,9648     Konstanzer S/Brandenburgische S    S->N   60  12:38:05  12:39:20
